Logradouro,Endereço,Numero,Complemento,Bairro,Cidade,Estado,Região,País,CEP,Endereço completo,Latitude,Longitude
,,,,,Cruzeiro do Sul,Acre,,Brasil,,"Avenida Boulevard Thaumaturgo, 338 - Centro
Cruzeiro do Sul - AC - CEP 69980-000",,
,,,,,Rio Branco,Acre,,Brasil,,"BR-364, n.º 1707 - CEP 69914-220",,
,,,,,Rio Branco,Acre,,Brasil,,"Rua Rui Barbosa, 400 - Centro Rio Branco - AC - CEP 69900-084",,
,,,,,Cruzeiro do Sul,Alagoas,,Brasil,,"Avenida Boulevard Thaumaturgo, 338 - Centro
Cruzeiro do Sul - AC - CEP 69980-000",,
,,,,,Rio Branco,Alagoas,,Brasil,,"BR-364, n.º 1707 - CEP 69914-220",,
,,,,,Rio Branco,Alagoas,,Brasil,,"Rua Rui Barbosa, 400 - Centro Rio Branco - AC - CEP 69900-084",,
,,,,,Arapiraca,Alagoas,,Brasil,,Rua Quinze de Novembro nº 67 - Centro - CEP 57300-340,,
,,,,,Arapiraca,Alagoas,,Brasil,,Rua Vicente Nunes de Albuquerque s/n. - Caititus  - CEP 57311-250,,
,,,,,Delmiro Gouveia,Alagoas,,Brasil,,"Galpão 2 na Avenida Presidente Castelo Branco, 484 - Centro - Delmiro Gouveia -  AL - CEP 57480-000",,
,,,,,Maceió,Alagoas,,Brasil,,"Rua Duque de Caxias, 1792 - Centro - CEP 57020-440",,
,,,,,Maceió,Alagoas,,Brasil,,"Rua Gustavo Paiva, 2990 - Mangabeira - CEP 57032-000",,
,,,,,Maceió,Alagoas,,Brasil,,"Avenida Fernandes Lima, 679 - Farol - CEP 57055-000",,
,,,,,Maceió,Alagoas,,Brasil,,"Av. Juca Sampaio, 2178 - Barro Duro - CEP 57045-365",,
,,,,,Maceió,Alagoas,,Brasil,,"Avenida Comendador Gustavo Paiva nº 5945 Lojas 1004, 1105 e 1006 - Cruz das Almas - CEP 57038-000",,
,,,,,Maceió,Alagoas,,Brasil,,"R. Cincinato Pinto, 167 - Centro - Maceió - AL - CEP 57020-050",,
,,,,,Cruzeiro do Sul,Amapá,,Brasil,,"Avenida Boulevard Thaumaturgo, 338 - Centro
Cruzeiro do Sul - AC - CEP 69980-000",,
,,,,,Rio Branco,Amapá,,Brasil,,"BR-364, n.º 1707 - CEP 69914-220",,
,,,,,Rio Branco,Amapá,,Brasil,,"Rua Rui Barbosa, 400 - Centro Rio Branco - AC - CEP 69900-084",,
,,,,,Arapiraca,Amapá,,Brasil,,Rua Quinze de Novembro nº 67 - Centro - CEP 57300-340,,
,,,,,Cruzeiro do Sul,Amazonas,,Brasil,,"Avenida Boulevard Thaumaturgo, 338 - Centro
Cruzeiro do Sul - AC - CEP 69980-000",,
,,,,,Rio Branco,Amazonas,,Brasil,,"BR-364, n.º 1707 - CEP 69914-220",,
,,,,,Rio Branco,Amazonas,,Brasil,,"Rua Rui Barbosa, 400 - Centro Rio Branco - AC - CEP 69900-084",,
,,,,,Arapiraca,Amazonas,,Brasil,,Rua Quinze de Novembro nº 67 - Centro - CEP 57300-340,,
,,,,,Arapiraca,Amazonas,,Brasil,,Rua Vicente Nunes de Albuquerque s/n. - Caititus  - CEP 57311-250,,
,,,,,Delmiro Gouveia,Amazonas,,Brasil,,"Galpão 2 na Avenida Presidente Castelo Branco, 484 - Centro - Delmiro Gouveia -  AL - CEP 57480-000",,
,,,,,Maceió,Amazonas,,Brasil,,"Rua Duque de Caxias, 1792 - Centro - CEP 57020-440",,
,,,,,Maceió,Amazonas,,Brasil,,"Rua Gustavo Paiva, 2990 - Mangabeira - CEP 57032-000",,
,,,,,Maceió,Amazonas,,Brasil,,"Avenida Fernandes Lima, 679 - Farol - CEP 57055-000",,
,,,,,Maceió,Amazonas,,Brasil,,"Av. Juca Sampaio, 2178 - Barro Duro - CEP 57045-365",,
,,,,,Maceió,Amazonas,,Brasil,,"Avenida Comendador Gustavo Paiva nº 5945 Lojas 1004, 1105 e 1006 - Cruz das Almas - CEP 57038-000",,
,,,,,Maceió,Amazonas,,Brasil,,"R. Cincinato Pinto, 167 - Centro - Maceió - AL - CEP 57020-050",,
,,,,,Maceió,Amazonas,,Brasil,,"Rua do Comércio, 173 - Térreo, primeiro andar - Centro, Maceió - AL - CEP 57020-000",,
,,,,,Penedo,Amazonas,,Brasil,,"Rua Joaquim Nabuco, 113 - Centro Histórico, Penedo - AL - CEP 57200-000",,
,,,,,Cruzeiro do Sul,Bahia,,Brasil,,"Avenida Boulevard Thaumaturgo, 338 - Centro
Cruzeiro do Sul - AC - CEP 69980-000",,
,,,,,Rio Branco,Bahia,,Brasil,,"BR-364, n.º 1707 - CEP 69914-220",,
,,,,,Rio Branco,Bahia,,Brasil,,"Rua Rui Barbosa, 400 - Centro Rio Branco - AC - CEP 69900-084",,
,,,,,Arapiraca,Bahia,,Brasil,,Rua Quinze de Novembro nº 67 - Centro - CEP 57300-340,,
,,,,,Arapiraca,Bahia,,Brasil,,Rua Vicente Nunes de Albuquerque s/n. - Caititus  - CEP 57311-250,,
,,,,,Delmiro Gouveia,Bahia,,Brasil,,"Galpão 2 na Avenida Presidente Castelo Branco, 484 - Centro - Delmiro Gouveia -  AL - CEP 57480-000",,
,,,,,Maceió,Bahia,,Brasil,,"Rua Duque de Caxias, 1792 - Centro - CEP 57020-440",,
,,,,,Maceió,Bahia,,Brasil,,"Rua Gustavo Paiva, 2990 - Mangabeira - CEP 57032-000",,
,,,,,Maceió,Bahia,,Brasil,,"Avenida Fernandes Lima, 679 - Farol - CEP 57055-000",,
,,,,,Maceió,Bahia,,Brasil,,"Av. Juca Sampaio, 2178 - Barro Duro - CEP 57045-365",,
,,,,,Maceió,Bahia,,Brasil,,"Avenida Comendador Gustavo Paiva nº 5945 Lojas 1004, 1105 e 1006 - Cruz das Almas - CEP 57038-000",,
,,,,,Maceió,Bahia,,Brasil,,"R. Cincinato Pinto, 167 - Centro - Maceió - AL - CEP 57020-050",,
,,,,,Maceió,Bahia,,Brasil,,"Rua do Comércio, 173 - Térreo, primeiro andar - Centro, Maceió - AL - CEP 57020-000",,
,,,,,Penedo,Bahia,,Brasil,,"Rua Joaquim Nabuco, 113 - Centro Histórico, Penedo - AL - CEP 57200-000",,
,,,,,Rio Largo,Bahia,,Brasil,,Rua Dr. Manoel Oiticica nº 296 Bairro: Centro - Rio Largo / AL CEP: 57100-000,,
,,,,,Macapá,Bahia,,Brasil,,"Avenida Presidente Vargas, 341 térreo (sala 1) e 1º andar (sala 2) - Central - CEP  68900-070",,
,,,,,Macapá,Bahia,,Brasil,,Rodovia Juscelino Kubitschek n.º 100  - Loja nº 140 - Jardim Marco Zero -  CEP 68903-196,,
,,,,,Macapá,Bahia,,Brasil,,"Rua Leopoldo Machado, 2334 
Central - Macapá / AM CEP: 68906-430",,
,,,,,Santana,Bahia,,Brasil,,"Avenida Santana s/n, Lote urbano 401 - Antigo 21, quadra 22, setor 12 Comercial - Santana/AP - CEP 68925-076",,
,,,,,Itacoatiara,Bahia,,Brasil,,"Avenida Parque nº 762
Bairro: Tancredo Neves - Manaus / AM CEP: 69087-215",,
,,,,,Manaus,Bahia,,Brasil,,"Avenida 7 de Setembro,  1.199 - Centro - CEP 69005-141",,
,,,,,Manaus,Bahia,,Brasil,,"Av. Djalma Batista, 1661 - Chapada - CEP 69050-010",,
,,,,,Manaus,Bahia,,Brasil,,"Av Djalma Baptista, 2100 - Chapada - CEP 69050-010",,
,,,,,Manaus,Bahia,,Brasil,,Avenida Cosme Ferreira  nº 4605 Loja 17A - São José Operário - CEP 69085-015,,
,,,,,Manaus,Bahia,,Brasil,,Avenida  Autaz  Mirim nº 282 – LOJA 01 - Tancredo Neves - CEP 69087-215,,
,,,,,Manaus,Bahia,,Brasil,,Av. Arquiteto José Henrique Bento Rodrigues nº 3760  EC 103-G Bairro: Monte das Oliveiras - Manaus / AM CEP: 69.093-149,,
